*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=kbd_projekt_encoder
*Date=20:33:09
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;68.4571;-69.9512;0;Bottom;Via31
2;;sma-diode-kit;76.6041;-56.6099;180;Top;D5
3;;;27.2109;-54.0753;0;Bottom;Via139
4;;;15.762;-21.6645;0;Bottom;TXT7
5;;;41.8156;-6.44468;0;Bottom;Via110
6;;;23.3528;-24.2881;180;Bottom;ESP32-S2
7;;;24.531;-14.8492;0;Bottom;TXT1
8;;;39.5315;-52.0992;0;Bottom;TXT6
9;;;10.4657;-27.6236;0;Bottom;TXT7
10;;;95.7759;-8.67573;0;Bottom;MX12
11;;;10.3324;-17.5192;0;Bottom;TXT7
12;;sma-diode-kit;57.5541;-75.6599;180;Top;D1
13;;;49.4269;-48.3282;0;Bottom;Via34
14;;;39.2889;-8.97142;0;Bottom;Via113
15;;;57.6759;-65.8257;0;Bottom;MX1
16;;;20.8417;-77.5636;0;Bottom;Via130
17;;;10.5887;-32.6099;0;Bottom;TXT7
18;;;87.5706;-31.8475;0;Bottom;Via40
19;;;42.4679;-8.97142;0;Bottom;Via112
20;;;9.89303;-60.7447;0;Bottom;TXT7
21;;;24.674;-47.72;0;Bottom;Via27
22;;;40.2674;-29.2979;0;Bottom;TXT6
23;;;10.5568;-19.9184;0;Bottom;TXT7
24;;;2.44921;-80.7398;0;Bottom;Hole1
25;;;41.8171;-15.9584;0;Bottom;Via106
26;;;68.4622;-29.2954;0;Bottom;Via43
27;;;20.864;-46.45;0;Bottom;Via134
28;;;28.4883;-47.0785;0;Bottom;Via103
29;;;31.6427;-19.7786;0;Bottom;Via121
30;;;25.3212;-77.5644;0;Bottom;Via131
31;;sma-diode-kit;76.6041;-18.5099;180;Top;D11
32;;;9.74655;-71.0026;0;Bottom;TXT7
33;;sma-diode-kit;76.6041;-75.6599;180;Top;D2
34;;sma-diode-kit;57.5541;-56.6099;180;Top;D4
35;;;95.7759;-65.8257;0;Bottom;MX3
36;;;2.44921;-2.63478;0;Bottom;Hole2
37;;;95.7759;-27.7257;0;Bottom;MX9
38;;;33.5604;-19.1272;0;Bottom;Via120
39;;;29.1097;-37.5447;0;Bottom;Via99
40;;;40.2759;-9.02534;0;Bottom;TXT6
41;;;31.0277;-22.3112;0;Bottom;Via123
42;;;9.44193;-54.6903;0;Bottom;Via146
43;;sma-diode-kit;95.6541;-37.5599;180;Top;D9
44;;;39.2889;-14.0661;0;Bottom;Via116
45;;;87.5706;-29.2954;0;Bottom;Via41
46;;;38.6344;-28.0237;0;Bottom;Via128
47;;;27.849;-52.8;0;Bottom;Via140
48;;;10.3821;-37.9259;0;Bottom;TXT7
49;;;76.7259;-46.7757;0;Bottom;MX5
50;;;76.7259;-27.7257;0;Bottom;MX8
51;;sma-diode-kit;76.6041;-37.5599;180;Top;D8
52;;;40.2575;-11.6339;0;Bottom;TXT6
53;;;39.2889;-15.3296;0;Bottom;Via107
54;;;25.309;-52.165;0;Bottom;Via24
55;;;10.343;-45.7974;0;Bottom;TXT7
56;;;10.4592;-40.4072;0;Bottom;TXT7
57;;;15.8763;-18.8516;0;Bottom;TXT7
58;;;105.954;-80.7398;0;Bottom;Hole4
59;;;21.5058;-59.1375;0;Bottom;Via145
60;;sma-diode-kit;57.5541;-18.5099;180;Top;D10
61;;;88.5845;-2.62527;0;Bottom;TXT8
62;;;27.8657;-70.5568;0;Bottom;Via94
63;;;15.7761;-29.1677;0;Bottom;TXT7
64;;;21.499;-52.165;0;Bottom;Via25
65;;;40.3168;-34.313;0;Bottom;TXT6
66;;;10.2661;-53.2655;0;Bottom;TXT7
67;;;87.5359;-50.917;0;Bottom;Via37
68;;;15.7355;-26.8275;0;Bottom;TXT7
69;;THT;7.52912;-49.6249;180;Bottom;J1
70;;;25.944;-48.99;0;Bottom;Via141
71;;;10.3226;-48.2803;0;Bottom;TXT7
72;;;10.5481;-35.2877;0;Bottom;TXT7
73;;usb-microb;22.7542;-81.2205;180;Top;µUSB
74;;THT;17.5171;-68.116;0;Bottom;RE1
75;;;9.83291;-73.4379;0;Bottom;TXT7
76;;;49.4269;-50.917;0;Bottom;Via39
77;;;90.7222;-37.5608;0;Bottom;Via48
78;;;40.1348;-6.31544;0;Bottom;TXT6
79;;;28.4883;-39.4571;0;Bottom;Via100
80;;;10.1961;-58.1939;0;Bottom;TXT7
81;;;42.4679;-11.5391;0;Bottom;Via114
82;;;10.5469;-30.2618;0;Bottom;TXT7
83;;;57.6759;-27.7257;0;Bottom;MX7
84;;;26.579;-47.72;0;Bottom;Via142
85;;;87.5579;-69.9424;0;Bottom;Via33
86;;;39.2889;-11.5391;0;Bottom;Via115
87;;;10.2088;-55.6723;0;Bottom;TXT7
88;;;39.2889;-6.44468;0;Bottom;Via111
89;;;38.6344;-35.6558;0;Bottom;Via129
90;;sma-diode-kit;95.0191;-75.6599;180;Top;D3
91;;;87.5359;-48.3282;0;Bottom;Via36
92;;;57.6759;-46.7757;0;Bottom;MX4
93;;sma-diode-kit;57.5541;-37.5599;180;Top;D7
94;;;33.5604;-21.6963;0;Bottom;Via122
95;;;87.5579;-67.4103;0;Bottom;Via32
96;;sma-diode-kit;95.6541;-18.5099;180;Top;D12
97;;;30.3763;-24.8442;0;Bottom;Via125
98;;;22.5541;-12.5295;0;Bottom;TXT2
99;;;3.96229;-43.1792;0;Bottom;TXT7
100;;;33.5604;-24.2292;0;Bottom;Via124
101;;;49.4196;-31.8475;0;Bottom;Via44
102;;;13.2545;-55.9611;0;Bottom;Via147
103;;;16.0823;-49.4794;0;Bottom;TXT6
104;;;17.6758;-50.2453;0;Bottom;Via97
105;;;40.3233;-13.9545;0;Bottom;TXT6
106;;;16.4092;-52.8144;0;Bottom;Via96
107;;;49.4196;-29.2954;0;Bottom;Via45
108;;;105.954;-2.63478;0;Bottom;Hole3
109;;;40.5581;-57.8845;0;Bottom;Via137
110;;;18.9421;-47.7126;0;Bottom;Via98
111;;;23.576;-20.7117;0;Bottom;IMG1
112;;;33.5604;-16.5942;0;Bottom;Via118
113;;;20.8683;-47.7327;0;Bottom;Via135
114;;;10.6563;-76.0674;0;Bottom;TXT7
115;;;38.8178;-49.5705;0;Bottom;TXT6
116;;;10.4213;-25.1954;0;Bottom;TXT7
117;;;10.3796;-22.3531;0;Bottom;TXT7
118;;;27.214;-48.99;0;Bottom;Via143
119;;;29.7611;-27.4132;0;Bottom;Via127
120;;;49.4492;-69.9467;0;Bottom;Via28
121;;;68.5116;-48.3282;0;Bottom;Via35
122;;;10.2943;-50.7729;0;Bottom;TXT7
123;;;95.7759;-46.7757;0;Bottom;MX6
124;;;10.5457;-78.4271;0;Bottom;TXT7
125;;;57.6759;-8.67573;0;Bottom;MX10
126;;;71.681;-37.5571;0;Bottom;Via47
127;;;27.2216;-58.5119;0;Bottom;Via144
128;;;10.5028;-80.9987;0;Bottom;TXT7
129;;;24.5098;-10.9306;0;Bottom;TXT3
130;;;28.4883;-42.0247;0;Bottom;Via101
131;;;15.8128;-24.2869;0;Bottom;TXT7
132;;;47.5323;-35.6462;0;Bottom;Via83
133;;;9.8648;-63.237;0;Bottom;TXT7
134;;;37.3771;-57.8687;0;Bottom;Via136
135;;;68.4622;-31.8475;0;Bottom;Via42
136;;;15.8585;-16.2712;0;Bottom;TXT7
137;;;4.78904;-68.5103;0;Bottom;TXT7
138;;;32.294;-17.2456;0;Bottom;Via119
139;;;18.328;-70.5568;0;Bottom;Via93
140;;;16.0727;-47.1917;0;Bottom;TXT6
141;;sma-diode-kit;95.6541;-56.6099;180;Top;D6
142;;;33.5604;-26.7619;0;Bottom;Via126
143;;;26.5734;-52.8008;0;Bottom;Via138
144;;;4.82177;-66.0451;0;Bottom;TXT7
145;;;20.2448;-49.6303;0;Bottom;Via95
146;;;68.4571;-67.3708;0;Bottom;Via30
147;;;68.5116;-50.917;0;Bottom;Via38
148;;;49.4681;-67.3643;0;Bottom;Via29
149;;;42.4679;-14.0661;0;Bottom;Via117
150;;;28.4883;-44.5517;0;Bottom;Via102
151;;;40.2897;-31.7256;0;Bottom;TXT6
152;;;76.7259;-65.8257;0;Bottom;MX2
153;;;10.3234;-42.95;0;Bottom;TXT7
154;;THT;38.4721;-68.116;0;Bottom;RE2
155;;;76.7259;-8.67573;0;Bottom;MX11
