*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=kbd_projekt_no_encoder
*Date=20:32:47
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;49.4681;-67.3812;0;Bottom;Via29
2;;;95.7759;-27.7426;0;Bottom;MX9
3;;;68.5116;-50.9339;0;Bottom;Via38
4;;;40.3168;-34.3299;0;Bottom;TXT6
5;;;18.3401;-61.7269;0;Bottom;Via72
6;;;10.5035;-14.7692;0;Bottom;TXT7
7;;;10.6076;-38.2126;0;Bottom;TXT7
8;;;76.7259;-8.69263;0;Bottom;MX11
9;;;95.7759;-8.69263;0;Bottom;MX12
10;;;10.4216;-58.4806;0;Bottom;TXT7
11;;THT;7.52912;-42.0218;180;Bottom;J1
12;;;46.2632;-35.673;0;Bottom;Via46
13;;;39.2889;-27.4101;0;Bottom;Via52
14;;;10.2791;-12.3701;0;Bottom;TXT7
15;;;14.5089;-59.8115;0;Bottom;Via74
16;;;33.5581;-59.8196;0;Bottom;Via75
17;;;19.6036;-49.0111;0;Bottom;Via66
18;;;40.2674;-29.3148;0;Bottom;TXT6
19;;;10.7724;-30.5485;0;Bottom;TXT7
20;;;10.4916;-53.5522;0;Bottom;TXT7
21;;sma-diode-kit;95.6541;-56.6268;180;Top;D6
22;;;87.5359;-48.3451;0;Bottom;Via36
23;;;68.4571;-69.9681;0;Bottom;Via31
24;;;29.7704;-45.1839;0;Bottom;Via61
25;;;10.4343;-55.959;0;Bottom;TXT7
26;;;57.6759;-46.7926;0;Bottom;MX4
27;;;10.3711;-19.6325;0;Bottom;TXT7
28;;sma-diode-kit;95.0191;-75.6768;180;Top;D3
29;;;32.2788;-64.2539;0;Bottom;Via80
30;;;34.1942;-47.0954;0;Bottom;Via63
31;;;19.1443;-32.1744;0;Bottom;TXT2
32;;sma-diode-kit;57.5541;-56.6268;180;Top;D4
33;;;30.3955;-42.6464;0;Bottom;Via60
34;;;10.5481;-48.567;0;Bottom;TXT7
35;;sma-diode-kit;95.6541;-37.5768;180;Top;D9
36;;;39.5315;-52.1161;0;Bottom;TXT6
37;;;24.674;-47.7369;0;Bottom;Via27
38;;;17.6879;-57.896;0;Bottom;Via68
39;;;10.3959;-7.37754;0;Bottom;TXT7
40;;;87.5359;-50.9339;0;Bottom;Via37
41;;;95.7759;-46.7926;0;Bottom;MX6
42;;;38.6367;-38.2107;0;Bottom;Via50
43;;;21.1314;-34.6134;0;Bottom;TXT1
44;;;105.954;-2.65168;0;Bottom;Hole3
45;;;31.6675;-65.5174;0;Bottom;Via81
46;;;16.0823;-49.4963;0;Bottom;TXT6
47;;;2.44921;-80.7567;0;Bottom;Hole1
48;;;34.1942;-44.5686;0;Bottom;Via62
49;;;34.1942;-42.0416;0;Bottom;Via57
50;;;10.4357;-24.8968;0;Bottom;TXT7
51;;;10.7736;-35.5744;0;Bottom;TXT7
52;;;38.0254;-36.9472;0;Bottom;Via51
53;;sma-diode-kit;57.5541;-37.5768;180;Top;D7
54;;;25.309;-52.1819;0;Bottom;Via24
55;;;10.0903;-63.5237;0;Bottom;TXT7
56;;;57.6759;-27.7426;0;Bottom;MX7
57;;;21.0278;-30.1499;0;Bottom;TXT3
58;;;40.2759;-9.04224;0;Bottom;TXT6
59;;;30.3955;-39.4841;0;Bottom;Via59
60;;;16.0727;-47.2086;0;Bottom;TXT6
61;;sma-diode-kit;76.6041;-37.5768;180;Top;D8
62;;;38.0254;-24.8834;0;Bottom;Via54
63;;;10.8142;-32.8966;0;Bottom;TXT7
64;;;57.6759;-8.69263;0;Bottom;MX10
65;;;10.5685;-46.0841;0;Bottom;TXT7
66;;sma-diode-kit;57.5541;-18.5268;180;Top;D10
67;;;49.4492;-69.9636;0;Bottom;Via28
68;;;10.5198;-51.0596;0;Bottom;TXT7
69;;;29.1086;-64.8946;0;Bottom;Via79
70;;;40.1348;-6.33234;0;Bottom;TXT6
71;;;10.39;-17.428;0;Bottom;TXT7
72;;;34.1942;-39.474;0;Bottom;Via55
73;;;76.7259;-27.7426;0;Bottom;MX8
74;;;38.6367;-26.1469;0;Bottom;Via53
75;;;87.5579;-67.4272;0;Bottom;Via32
76;;;38.8178;-49.5874;0;Bottom;TXT6
77;;;29.1086;-66.1448;0;Bottom;Via82
78;;;30.3955;-36.9467;0;Bottom;Via58
79;;;10.1185;-61.0314;0;Bottom;TXT7
80;;;68.4622;-29.3123;0;Bottom;Via43
81;;;76.7259;-46.7926;0;Bottom;MX5
82;;;90.7222;-37.5777;0;Bottom;Via48
83;;;32.933;-62.9822;0;Bottom;Via77
84;;;9.97205;-71.2893;0;Bottom;TXT7
85;;;19.6036;-57.896;0;Bottom;Via67
86;;;49.4196;-31.8644;0;Bottom;Via44
87;;;19.8589;-40.8491;0;Bottom;IMG1
